ID,Age,Gender,Country,Coffee_Intake,Caffeine_mg,Sleep_Hours,Sleep_Quality,Sleep_Quality_num,BMI,Stress_Level,Physical_Activity_Hours,Stress_Level_num,Occupation,Smoking,Alcohol_Consumption,Age_Group,Categoria_BMI
31,27,Female,USA,2.5,240.6,7.3,Good,3,27.5,Low,1.8,1,Student,0,0,Joven,Sobrepeso
32,57,Male,Finland,1.5,139.9,6.9,Good,3,32.7,Low,2.6,1,Service,1,0,Mayor,Obesidad
33,34,Male,France,2.8,264.6,8.3,Excellent,4,24.9,Low,4.1,1,Service,0,0,Joven,Peso saludable
34,22,Male,Sweden,4.4,413.8,7.1,Good,3,22.1,Low,12.2,1,Student,0,0,Joven,Peso saludable
35,44,Female,Brazil,3.8,364.3,9.2,Excellent,4,22.7,Low,3.1,1,Service,0,0,Adulto,Peso saludable
36,20,Female,China,1.9,179.5,5.3,Fair,2,21.2,Medium,3.3,2,Healthcare,0,0,Joven,Peso saludable
37,37,Male,Italy,2.0,191.3,7.9,Good,3,23.1,Low,9.8,1,Other,0,0,Adulto,Peso saludable
38,18,Female,China,2.0,187.4,4.8,Poor,1,35.8,High,12.4,3,Student,0,1,Joven,Obesidad
39,19,Male,China,3.2,307.4,7.8,Good,3,27.8,Low,10.5,1,Other,0,0,Joven,Sobrepeso
40,37,Female,India,0.4,40.6,7.4,Good,3,26.4,Low,8.1,1,Student,1,0,Adulto,Sobrepeso
41,43,Male,Norway,3.3,314.8,6.2,Good,3,25.4,Low,9.8,1,Other,1,1,Adulto,Sobrepeso
42,37,Male,USA,1.7,160.3,7.0,Good,3,24.4,Low,8.2,1,Office,0,0,Adulto,Peso saludable
43,33,Male,Norway,2.1,199.7,6.1,Good,3,24.5,Low,5.4,1,Student,1,0,Joven,Peso saludable
44,31,Male,Finland,1.4,133.4,6.1,Good,3,30.5,Low,10.4,1,Service,1,0,Joven,Obesidad
45,18,Female,Italy,3.6,341.7,7.0,Good,3,24.6,Low,10.3,1,Other,1,0,Joven,Peso saludable
46,26,Female,Canada,1.6,153.0,4.8,Poor,1,23.1,High,9.5,3,Office,0,0,Joven,Peso saludable
47,29,Male,UK,1.1,100.8,7.2,Good,3,19.8,Low,9.5,1,Office,0,0,Joven,Peso saludable
48,47,Male,India,1.6,155.0,6.6,Good,3,24.6,Low,3.5,1,Office,0,0,Adulto,Peso saludable
49,39,Male,China,0.9,83.3,6.5,Good,3,21.6,Low,13.9,1,Service,0,1,Adulto,Peso saludable
50,18,Female,Belgium,3.8,360.3,5.8,Fair,2,23.3,Medium,14.9,2,Office,0,0,Joven,Peso saludable
51,38,Female,Netherlands,0.8,80.4,7.2,Good,3,20.2,Low,8.3,1,Other,1,1,Adulto,Peso saludable
52,30,Male,Japan,2.4,231.3,7.9,Good,3,24.3,Low,3.4,1,Service,0,0,Joven,Peso saludable
53,26,Female,China,1.5,144.8,9.4,Excellent,4,21.4,Low,4.8,1,Student,0,0,Joven,Peso saludable
54,42,Male,Finland,4.9,461.0,7.6,Good,3,18.9,Low,11.1,1,Service,0,0,Adulto,Peso saludable
55,47,Female,France,3.1,297.8,7.5,Good,3,29.0,Low,4.1,1,Student,1,0,Adulto,Sobrepeso
56,46,Female,India,1.6,147.8,5.8,Fair,2,18.2,Medium,9.1,2,Student,0,0,Adulto,Bajo peso
57,24,Female,Spain,2.8,261.9,5.9,Fair,2,20.9,Medium,1.5,2,Student,0,1,Joven,Peso saludable
58,31,Female,India,1.1,107.9,6.8,Good,3,25.5,Low,14.5,1,Student,0,1,Joven,Sobrepeso
59,38,Female,Sweden,3.5,333.2,7.0,Good,3,28.0,Low,12.6,1,Service,0,1,Adulto,Sobrepeso
60,46,Female,Japan,2.8,261.4,6.0,Good,3,23.9,Low,12.3,1,Healthcare,1,0,Adulto,Peso saludable
61,29,Female,Spain,3.1,297.2,8.0,Good,3,23.5,Low,11.6,1,Healthcare,0,0,Joven,Peso saludable
62,32,Male,Japan,1.1,101.6,6.0,Good,3,18.8,Low,0.0,1,Office,0,1,Joven,Peso saludable
63,21,Male,Finland,0.4,40.3,5.4,Fair,2,21.2,Medium,1.0,2,Other,0,0,Joven,Peso saludable
64,20,Male,Japan,0.0,0.4,8.2,Excellent,4,17.2,Low,8.8,1,Other,0,0,Joven,Bajo peso
65,44,Female,Netherlands,0.1,11.2,7.3,Good,3,23.3,Low,11.5,1,Other,0,1,Adulto,Peso saludable
66,51,Male,Sweden,2.5,239.1,6.3,Good,3,25.9,Low,11.3,1,Office,1,0,Adulto,Sobrepeso
67,34,Male,Mexico,5.4,511.4,4.5,Poor,1,25.6,High,7.9,3,Other,0,1,Joven,Sobrepeso
68,47,Male,Belgium,1.9,180.6,7.9,Good,3,16.9,Low,7.8,1,Service,0,1,Adulto,Bajo peso
69,39,Male,Canada,1.6,155.0,9.6,Excellent,4,26.5,Low,1.3,1,Healthcare,0,0,Adulto,Sobrepeso
70,27,Female,Italy,2.4,229.8,7.2,Good,3,29.2,Low,13.9,1,Student,0,0,Joven,Sobrepeso
71,39,Female,Brazil,1.3,125.5,6.0,Good,3,22.5,Low,4.7,1,Other,0,0,Adulto,Peso saludable
72,53,Female,Australia,0.6,54.8,7.2,Good,3,30.3,Low,3.1,1,Office,0,0,Adulto,Obesidad
73,34,Female,Mexico,1.5,144.2,7.4,Good,3,22.2,Low,9.0,1,Office,0,0,Joven,Peso saludable
74,53,Female,Germany,2.2,205.2,7.3,Good,3,17.8,Low,0.4,1,Service,0,1,Adulto,Bajo peso
75,18,Male,Finland,5.3,502.5,5.2,Fair,2,23.4,Medium,14.4,2,Student,1,0,Joven,Peso saludable
76,44,Male,Japan,1.8,167.9,6.1,Good,3,22.8,Low,5.5,1,Student,0,1,Adulto,Peso saludable
77,36,Female,Australia,2.8,265.3,5.7,Fair,2,28.2,Medium,4.4,2,Office,1,0,Adulto,Sobrepeso
78,31,Male,UK,0.4,42.0,7.4,Good,3,20.0,Low,2.3,1,Other,0,0,Joven,Peso saludable
79,36,Male,UK,3.5,336.4,6.4,Good,3,25.6,Low,7.6,1,Service,0,1,Adulto,Sobrepeso
80,18,Female,Australia,1.4,132.1,8.2,Excellent,4,17.1,Low,5.8,1,Service,1,0,Joven,Bajo peso
81,32,Male,Sweden,0.8,76.6,7.2,Good,3,21.8,Low,4.6,1,Student,0,0,Joven,Peso saludable
82,39,Male,Australia,1.0,91.0,7.7,Good,3,22.5,Low,2.0,1,Service,0,0,Adulto,Peso saludable
83,52,Male,Australia,1.5,146.0,6.4,Good,3,22.0,Low,4.9,1,Healthcare,0,0,Adulto,Peso saludable
84,28,Male,Spain,0.8,72.8,4.7,Poor,1,17.7,High,12.3,3,Student,0,1,Joven,Bajo peso
85,25,Male,Canada,2.9,279.0,8.2,Excellent,4,21.8,Low,11.9,1,Office,0,0,Joven,Peso saludable
86,28,Male,Brazil,0.9,83.0,7.0,Good,3,24.1,Low,8.6,1,Service,1,0,Joven,Peso saludable
87,45,Female,Spain,3.5,329.5,7.0,Good,3,28.3,Low,11.3,1,Student,0,0,Adulto,Sobrepeso
88,38,Female,Netherlands,1.7,165.0,7.7,Good,3,20.9,Low,9.2,1,Other,0,0,Adulto,Peso saludable
89,28,Male,Canada,1.1,106.8,7.1,Good,3,19.9,Low,1.7,1,Other,0,1,Joven,Peso saludable
90,41,Female,Italy,1.5,140.1,4.6,Poor,1,33.1,High,13.9,3,Healthcare,1,0,Adulto,Obesidad
91,36,Male,Italy,1.0,92.8,6.4,Good,3,15.5,Low,7.5,1,Office,0,0,Adulto,Bajo peso
92,46,Male,Norway,2.5,240.6,6.0,Good,3,20.9,Low,11.1,1,Other,0,0,Adulto,Peso saludable
93,26,Male,Germany,1.7,159.8,6.2,Good,3,19.8,Low,13.1,1,Student,1,0,Joven,Peso saludable
94,31,Female,South Korea,4.2,395.9,6.1,Good,3,17.3,Low,13.2,1,Service,0,0,Joven,Bajo peso
95,30,Male,Italy,0.0,0.0,7.1,Good,3,23.6,Low,14.0,1,Other,0,0,Joven,Peso saludable
96,18,Female,France,4.3,404.0,8.7,Excellent,4,28.4,Low,9.7,1,Other,0,0,Joven,Sobrepeso
97,38,Female,Netherlands,1.5,141.6,7.4,Good,3,28.2,Low,9.5,1,Healthcare,0,0,Adulto,Sobrepeso
98,38,Female,France,4.9,465.6,7.1,Good,3,26.3,Low,3.6,1,Service,0,0,Adulto,Sobrepeso
99,35,Female,Sweden,2.7,254.7,6.0,Good,3,28.8,Low,4.7,1,Service,0,0,Joven,Sobrepeso
100,32,Female,UK,4.3,408.5,8.1,Excellent,4,23.0,Low,9.1,1,Other,0,1,Joven,Peso saludable
101,18,Male,Spain,2.4,226.7,6.8,Good,3,24.0,Low,3.8,1,Service,0,1,Joven,Peso saludable
102,29,Male,Italy,2.3,217.9,6.6,Good,3,25.0,Low,5.4,1,Office,1,0,Joven,Sobrepeso
103,30,Female,India,1.1,102.3,4.7,Poor,1,29.1,High,2.5,3,Office,0,0,Joven,Sobrepeso
104,25,Female,Norway,2.4,224.5,7.5,Good,3,22.4,Low,11.3,1,Other,0,0,Joven,Peso saludable
105,33,Male,Finland,1.0,95.0,8.0,Good,3,28.8,Low,9.5,1,Other,0,1,Joven,Sobrepeso
106,39,Male,Australia,2.8,264.2,7.7,Good,3,30.3,Low,10.9,1,Office,0,0,Adulto,Obesidad
107,57,Male,Belgium,2.7,260.5,4.9,Poor,1,25.3,High,6.7,3,Service,0,0,Mayor,Sobrepeso
108,37,Male,Spain,2.3,220.0,7.8,Good,3,27.2,Low,11.0,1,Healthcare,0,1,Adulto,Sobrepeso
109,38,Male,Norway,4.4,413.8,6.0,Fair,2,19.3,Medium,7.0,2,Healthcare,0,1,Adulto,Peso saludable
110,34,Female,Sweden,3.2,308.4,5.0,Fair,2,26.3,Medium,8.0,2,Healthcare,0,1,Joven,Sobrepeso
111,18,Female,Italy,1.1,106.4,9.4,Excellent,4,26.3,Low,1.9,1,Service,0,0,Joven,Sobrepeso
112,34,Male,Finland,3.4,318.5,8.3,Excellent,4,25.0,Low,0.5,1,Healthcare,0,1,Joven,Sobrepeso
113,35,Female,India,3.9,373.2,7.2,Good,3,27.5,Low,11.2,1,Office,0,0,Joven,Sobrepeso
114,64,Female,Brazil,0.0,0.0,7.6,Good,3,24.7,Low,13.4,1,Service,0,0,Mayor,Peso saludable
115,32,Male,South Korea,0.9,83.2,8.7,Excellent,4,22.7,Low,5.4,1,Office,1,1,Joven,Peso saludable
116,38,Male,Mexico,1.8,170.7,6.1,Good,3,23.5,Low,12.7,1,Service,1,1,Adulto,Peso saludable
117,34,Female,Italy,1.3,121.5,9.8,Excellent,4,23.7,Low,4.1,1,Healthcare,1,0,Joven,Peso saludable
118,20,Female,Canada,3.5,328.4,6.5,Good,3,24.0,Low,11.0,1,Healthcare,0,0,Joven,Peso saludable
119,48,Male,India,1.2,111.2,8.0,Excellent,4,22.5,Low,8.7,1,Other,0,0,Adulto,Peso saludable
120,44,Other,Japan,1.0,95.8,7.5,Good,3,22.4,Low,0.5,1,Student,0,0,Adulto,Peso saludable
121,44,Male,Sweden,2.9,271.5,5.4,Fair,2,26.6,Medium,3.6,2,Office,0,0,Adulto,Sobrepeso
122,24,Male,Switzerland,2.2,204.6,6.7,Good,3,24.2,Low,9.4,1,Healthcare,0,0,Joven,Peso saludable
123,51,Male,Norway,4.2,397.5,8.2,Excellent,4,19.4,Low,3.1,1,Service,0,0,Adulto,Peso saludable
124,18,Male,Sweden,3.1,290.4,5.6,Fair,2,26.3,Medium,8.8,2,Other,0,1,Joven,Sobrepeso
125,42,Female,Japan,7.6,722.4,7.5,Good,3,20.4,Low,10.6,1,Office,0,1,Adulto,Peso saludable
126,61,Female,Japan,0.9,82.1,7.7,Good,3,31.5,Low,5.2,1,Healthcare,0,0,Mayor,Obesidad
127,23,Male,Canada,0.2,19.6,5.4,Fair,2,20.0,Medium,10.4,2,Other,1,0,Joven,Peso saludable
128,28,Female,UK,4.6,433.5,6.3,Good,3,31.7,Low,9.6,1,Healthcare,1,0,Joven,Obesidad
129,36,Female,China,7.1,674.5,5.9,Fair,2,25.8,Medium,14.8,2,Healthcare,0,0,Adulto,Sobrepeso
130,28,Male,UK,2.2,205.7,5.5,Fair,2,22.3,Medium,9.2,2,Healthcare,1,0,Joven,Peso saludable
131,18,Female,China,2.0,192.2,7.1,Good,3,20.9,Low,4.1,1,Other,0,0,Joven,Peso saludable
132,35,Male,Canada,2.7,255.6,5.0,Poor,1,26.4,High,3.7,3,Student,0,1,Joven,Sobrepeso
133,22,Female,Spain,1.2,116.0,7.9,Good,3,22.5,Low,9.9,1,Healthcare,1,0,Joven,Peso saludable
134,40,Male,USA,0.0,0.0,5.9,Fair,2,21.1,Medium,1.6,2,Office,0,0,Adulto,Peso saludable
135,23,Female,Switzerland,2.9,272.1,6.2,Good,3,21.5,Low,3.4,1,Other,0,0,Joven,Peso saludable
136,53,Male,Belgium,2.5,238.9,6.6,Good,3,23.9,Low,0.1,1,Healthcare,0,0,Adulto,Peso saludable
137,25,Female,Spain,0.4,40.3,8.8,Excellent,4,24.3,Low,7.7,1,Other,0,0,Joven,Peso saludable
138,31,Female,Spain,1.6,149.5,5.2,Fair,2,28.8,Medium,11.8,2,Office,0,0,Joven,Sobrepeso
139,44,Male,Netherlands,0.4,37.1,6.3,Good,3,23.0,Low,7.7,1,Office,0,0,Adulto,Peso saludable
140,20,Male,Netherlands,3.1,290.4,6.7,Good,3,26.3,Low,4.3,1,Service,0,0,Joven,Sobrepeso
141,37,Male,Canada,2.5,233.7,6.6,Good,3,22.3,Low,12.6,1,Service,0,0,Adulto,Peso saludable
142,50,Female,France,2.7,260.6,6.7,Good,3,20.3,Low,7.3,1,Student,0,0,Adulto,Peso saludable
143,18,Male,UK,3.3,311.6,6.3,Good,3,21.1,Low,10.3,1,Service,0,0,Joven,Peso saludable
144,37,Female,Germany,4.1,393.7,6.7,Good,3,15.0,Low,14.8,1,Other,1,1,Adulto,Bajo peso
145,38,Male,Spain,2.8,262.9,4.2,Poor,1,24.1,High,12.2,3,Service,0,0,Adulto,Peso saludable
146,44,Male,UK,3.4,325.2,8.2,Excellent,4,22.3,Low,12.8,1,Other,0,1,Adulto,Peso saludable
147,20,Male,Finland,5.2,496.7,6.1,Good,3,23.1,Low,1.8,1,Other,0,0,Joven,Peso saludable
148,19,Male,South Korea,3.9,375.2,9.6,Excellent,4,21.8,Low,8.1,1,Student,0,0,Joven,Peso saludable
149,41,Female,Belgium,2.8,268.6,6.2,Good,3,24.2,Low,15.0,1,Other,0,0,Adulto,Peso saludable
150,38,Female,China,2.7,259.8,7.8,Good,3,29.5,Low,4.9,1,Service,0,0,Adulto,Sobrepeso
151,38,Male,Australia,1.3,119.3,5.9,Fair,2,26.6,Medium,0.6,2,Service,0,0,Adulto,Sobrepeso
152,39,Female,Norway,1.5,145.4,6.8,Good,3,20.5,Low,0.5,1,Healthcare,0,1,Adulto,Peso saludable
153,26,Male,Switzerland,2.4,223.4,5.4,Fair,2,29.9,Medium,14.7,2,Student,0,1,Joven,Sobrepeso
154,37,Female,France,2.0,187.1,6.3,Good,3,33.8,Low,6.5,1,Office,1,1,Adulto,Obesidad
155,38,Male,Spain,5.3,506.2,5.3,Fair,2,23.9,Medium,4.3,2,Office,0,1,Adulto,Peso saludable
156,26,Female,UK,3.1,290.6,7.1,Good,3,23.6,Low,7.7,1,Healthcare,0,0,Joven,Peso saludable
157,57,Female,UK,2.9,278.9,8.5,Excellent,4,27.3,Low,9.2,1,Service,1,0,Mayor,Sobrepeso
158,40,Male,Germany,4.3,404.7,6.9,Good,3,26.6,Low,13.2,1,Student,0,0,Adulto,Sobrepeso
159,20,Female,China,2.8,263.6,10.0,Excellent,4,22.3,Low,6.6,1,Service,0,0,Joven,Peso saludable
160,42,Male,Netherlands,2.1,198.2,7.5,Good,3,22.0,Low,12.8,1,Healthcare,0,0,Adulto,Peso saludable
161,23,Male,India,2.9,274.3,5.4,Fair,2,22.2,Medium,3.9,2,Office,0,0,Joven,Peso saludable
162,44,Male,Japan,3.1,295.4,9.4,Excellent,4,29.0,Low,8.2,1,Student,0,0,Adulto,Sobrepeso
163,48,Male,France,4.6,437.0,7.4,Good,3,22.6,Low,11.7,1,Service,0,0,Adulto,Peso saludable
164,25,Male,Finland,0.5,44.1,5.3,Fair,2,24.0,Medium,6.6,2,Other,0,0,Joven,Peso saludable
165,46,Male,Italy,1.4,132.2,6.8,Good,3,28.0,Low,4.2,1,Other,0,0,Adulto,Sobrepeso
166,39,Male,Australia,2.4,227.1,7.6,Good,3,29.1,Low,12.1,1,Other,1,1,Adulto,Sobrepeso
167,44,Male,Finland,3.9,371.1,7.1,Good,3,20.4,Low,12.1,1,Office,0,0,Adulto,Peso saludable
168,57,Female,Italy,3.7,349.7,7.4,Good,3,19.1,Low,4.2,1,Other,0,1,Mayor,Peso saludable
169,32,Female,UK,2.7,252.9,7.8,Good,3,25.4,Low,9.1,1,Other,0,0,Joven,Sobrepeso
170,25,Male,Spain,4.0,382.8,5.7,Fair,2,24.4,Medium,3.7,2,Healthcare,0,0,Joven,Peso saludable
171,24,Male,Finland,1.5,141.5,7.4,Good,3,27.0,Low,13.4,1,Healthcare,0,1,Joven,Sobrepeso
172,25,Male,Switzerland,5.3,505.9,6.5,Good,3,18.3,Low,1.1,1,Healthcare,1,0,Joven,Bajo peso
173,34,Female,Belgium,1.2,118.4,6.5,Good,3,22.7,Low,5.7,1,Service,0,0,Joven,Peso saludable
174,39,Female,Sweden,0.0,0.0,8.0,Excellent,4,24.8,Low,9.8,1,Other,0,0,Adulto,Peso saludable
175,38,Male,Italy,3.4,323.7,6.7,Good,3,20.1,Low,12.9,1,Office,0,0,Adulto,Peso saludable
176,44,Male,USA,0.4,33.3,8.3,Excellent,4,26.0,Low,11.9,1,Other,0,0,Adulto,Sobrepeso
177,35,Male,Spain,1.7,165.0,7.1,Good,3,28.8,Low,10.3,1,Other,0,0,Joven,Sobrepeso
178,52,Male,Spain,2.3,217.1,6.3,Good,3,20.2,Low,13.9,1,Service,0,1,Adulto,Peso saludable
179,31,Female,USA,3.1,296.6,6.7,Good,3,27.2,Low,0.4,1,Healthcare,0,0,Joven,Sobrepeso
180,67,Female,USA,4.0,381.8,7.2,Good,3,23.5,Low,14.7,1,Other,1,0,Mayor,Peso saludable
181,42,Male,Norway,0.5,45.2,7.0,Good,3,21.6,Low,5.2,1,Student,1,0,Adulto,Peso saludable
182,24,Female,Japan,0.8,77.1,6.3,Good,3,22.2,Low,11.2,1,Student,0,1,Joven,Peso saludable
183,22,Male,Norway,7.6,723.9,6.0,Good,3,27.7,Low,4.2,1,Healthcare,0,0,Joven,Sobrepeso
184,40,Male,Mexico,2.2,207.4,8.4,Excellent,4,22.3,Low,6.2,1,Healthcare,0,0,Adulto,Peso saludable
185,32,Female,India,0.0,3.3,7.8,Good,3,22.5,Low,13.1,1,Other,0,1,Joven,Peso saludable
186,43,Female,China,1.0,93.8,7.3,Good,3,28.1,Low,6.7,1,Student,0,0,Adulto,Sobrepeso
187,40,Male,China,1.7,162.3,6.5,Good,3,27.2,Low,13.3,1,Office,1,1,Adulto,Sobrepeso
188,34,Male,Australia,2.5,238.2,6.9,Good,3,22.2,Low,8.2,1,Office,0,0,Joven,Peso saludable
189,24,Female,Mexico,4.3,407.4,5.2,Fair,2,31.4,Medium,4.0,2,Student,0,0,Joven,Obesidad
190,18,Female,Norway,5.0,470.3,6.0,Good,3,27.5,Low,7.3,1,Healthcare,0,0,Joven,Sobrepeso
191,29,Male,Norway,1.3,120.0,7.4,Good,3,30.2,Low,1.3,1,Service,0,0,Joven,Obesidad
192,45,Male,Japan,1.6,156.6,6.9,Good,3,31.1,Low,7.2,1,Service,0,1,Adulto,Obesidad
193,37,Male,Sweden,2.7,258.7,6.1,Good,3,21.7,Low,11.8,1,Office,0,1,Adulto,Peso saludable
194,20,Female,Germany,1.4,134.0,5.3,Fair,2,21.3,Medium,1.0,2,Healthcare,0,1,Joven,Peso saludable
195,37,Female,Norway,4.3,407.5,6.2,Good,3,16.7,Low,3.5,1,Other,0,1,Adulto,Bajo peso
196,39,Male,Switzerland,6.2,589.0,5.2,Fair,2,29.9,Medium,6.3,2,Student,0,0,Adulto,Sobrepeso
197,24,Female,China,2.5,240.5,6.6,Good,3,17.4,Low,11.4,1,Office,0,1,Joven,Bajo peso
198,36,Female,China,3.0,284.3,6.9,Good,3,25.1,Low,11.3,1,Service,1,0,Adulto,Sobrepeso
199,35,Male,Spain,1.6,154.0,8.5,Excellent,4,19.4,Low,13.3,1,Service,0,1,Joven,Peso saludable
200,21,Male,Belgium,3.0,285.3,7.7,Good,3,23.5,Low,2.2,1,Other,0,0,Joven,Peso saludable
201,39,Female,Sweden,0.9,86.4,7.2,Good,3,23.9,Low,2.3,1,Other,1,0,Adulto,Peso saludable
202,41,Female,Switzerland,1.1,102.3,9.3,Excellent,4,31.2,Low,10.0,1,Service,0,0,Adulto,Obesidad
203,47,Female,India,0.0,0.0,7.5,Good,3,26.6,Low,2.7,1,Healthcare,0,1,Adulto,Sobrepeso
204,47,Female,India,3.7,353.8,5.6,Fair,2,35.7,Medium,6.2,2,Service,1,0,Adulto,Obesidad
205,18,Male,Finland,4.6,435.4,6.1,Good,3,24.8,Low,8.1,1,Student,0,0,Joven,Peso saludable
206,23,Male,UK,4.0,384.4,9.5,Excellent,4,25.2,Low,3.9,1,Healthcare,0,1,Joven,Sobrepeso
207,41,Female,China,2.6,250.9,5.7,Fair,2,19.6,Medium,10.4,2,Other,0,0,Adulto,Peso saludable
208,41,Male,Sweden,2.0,192.9,6.3,Good,3,21.3,Low,12.9,1,Other,1,0,Adulto,Peso saludable
209,41,Female,Norway,2.4,224.3,7.8,Good,3,18.2,Low,0.2,1,Other,1,0,Adulto,Bajo peso
210,80,Female,India,1.0,92.2,5.8,Fair,2,23.8,Medium,4.3,2,Student,1,1,Mayor,Peso saludable
211,41,Female,Italy,3.9,371.6,7.6,Good,3,20.9,Low,10.7,1,Other,0,0,Adulto,Peso saludable
212,48,Male,South Korea,4.1,386.9,7.8,Good,3,22.4,Low,4.1,1,Healthcare,1,0,Adulto,Peso saludable
213,46,Female,Brazil,0.9,86.1,7.2,Good,3,18.9,Low,7.8,1,Other,0,1,Adulto,Peso saludable
214,42,Female,China,1.1,104.4,8.8,Excellent,4,20.9,Low,11.3,1,Other,0,0,Adulto,Peso saludable
215,31,Female,Belgium,0.5,48.6,6.7,Good,3,24.1,Low,5.2,1,Service,1,1,Joven,Peso saludable
216,44,Male,China,2.1,201.2,7.8,Good,3,16.1,Low,11.8,1,Service,1,0,Adulto,Bajo peso
217,25,Male,Italy,2.5,234.4,3.8,Poor,1,31.3,High,12.2,3,Student,0,0,Joven,Obesidad
218,32,Male,USA,2.6,247.0,7.4,Good,3,29.4,Low,14.9,1,Healthcare,1,0,Joven,Sobrepeso
219,29,Male,Switzerland,0.5,47.7,8.5,Excellent,4,33.3,Low,6.5,1,Healthcare,0,0,Joven,Obesidad
220,35,Male,Sweden,1.4,133.2,7.8,Good,3,20.1,Low,7.1,1,Service,0,1,Joven,Peso saludable
221,62,Female,Australia,1.4,133.4,6.3,Good,3,22.0,Low,11.7,1,Healthcare,0,0,Mayor,Peso saludable
222,18,Female,Finland,3.6,341.7,4.7,Poor,1,32.3,High,13.0,3,Other,0,0,Joven,Obesidad
223,43,Female,India,1.0,95.6,8.2,Excellent,4,31.1,Low,7.6,1,Student,1,1,Adulto,Obesidad
224,18,Female,Brazil,2.6,245.2,5.6,Fair,2,22.1,Medium,0.3,2,Service,0,0,Joven,Peso saludable
225,29,Male,Canada,1.4,136.5,5.9,Fair,2,19.3,Medium,6.9,2,Other,0,0,Joven,Peso saludable
226,48,Female,Finland,2.2,210.2,6.4,Good,3,31.4,Low,3.4,1,Service,0,1,Adulto,Obesidad
